Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
Aloysius Anagonye,2003,78.75,257.0,86.5,7.75
Rick Anderson,2003,80.25,216.0,83.0,2.75
Carmelo Anthony,2003,78.25,233.0,84.0,5.75
Jerome Beasley,2003,81.0,237.0,84.5,3.5
Troy Bell,2003,72.25,178.0,77.0,4.75
LaVell Blanchard,2003,78.0,205.0,78.0,0.0
Keith Bogans,2003,76.25,213.0,81.25,5.0
Matt Bonner,2003,80.5,242.0,80.75,0.25
Chris Bosh,2003,82.25,225.0,87.5,5.25
Jermaine Boyette,2003,73.0,187.0,76.0,3.0
Souleymane Camara,2003,81.75,211.0,86.25,4.5
Matt Carroll,2003,77.0,207.0,78.5,1.5
Nick Collison,2003,80.75,255.0,85.5,4.75
Brian Cook,2003,81.5,234.0,86.0,4.5
Joel Cornette,2003,80.25,239.0,81.25,1.0
Marquis Daniels,2003,77.25,198.0,82.0,4.75
Aleksander Djuric,2003,82.0,253.0,84.0,2.0
Ruben Douglas,2003,75.5,193.0,79.25,3.75
Ronald Dupree,2003,78.0,209.0,80.25,2.25
Carl English,2003,76.0,201.0,77.25,1.25
Ebi Ere,2003,75.5,210.0,82.5,7.0
Marquis Estill,2003,80.5,257.0,88.0,7.5
T.J. Ford,2003,71.0,162.0,71.5,0.5
Jason Gardner,2003,69.75,194.0,73.0,3.25
Willie Green,2003,74.5,201.0,79.25,4.75
Justin Hamilton,2003,75.0,217.0,83.0,8.0
Travis Hansen,2003,76.5,200.0,78.5,2.0
Trevor Harvey,2003,81.5,245.0,85.0,3.5
Marcus Hatten,2003,72.75,163.0,78.25,5.5
Kirk Hinrich,2003,74.75,186.0,78.0,3.25
Jerry Holman,2003,80.75,232.0,87.25,6.5
Sam Hoskin,2003,79.25,261.0,82.75,3.5
Josh Howard,2003,77.25,202.0,86.0,8.75
Brandon Hunter,2003,78.5,266.0,86.75,8.25
Sani Ibrahim,2003,80.5,229.0,85.0,4.5
Michael Ignerski,2003,81.5,232.0,82.75,1.25
Robert Jackson,2003,79.75,254.0,84.0,4.25
LeBron James,2003,79.25,245.0,84.25,5.0
Britton Johnsen,2003,82.0,212.0,82.75,0.75
James Jones,2003,79.25,218.0,86.5,7.25
Dahntay Jones,2003,76.75,214.0,81.0,4.25
Chris Kaman,2003,83.5,252.0,83.75,0.25
Jason Kapono,2003,78.5,215.0,78.5,0.0
Jason Keep,2003,81.75,270.0,84.5,2.75
Bernard King,2003,75.75,200.0,77.5,1.75
Brandin Knight,2003,71.75,190.0,78.0,6.25
Kyle Korver,2003,78.25,211.0,81.5,3.25
James Lang,2003,80.25,316.0,90.25,10.0
Donald Little,2003,81.5,229.0,87.0,5.5
Chris Marcus,2003,84.0,334.0,92.0,8.0
Chris Massie,2003,78.5,259.0,85.0,6.5
Will McDonald,2003,81.5,258.0,87.5,6.0
Darko Milicic,2003,83.5,250.0,89.0,5.5
Jeff Newton,2003,80.0,199.0,85.0,5.0
Uche Nsonwu-Amadi,2003,79.75,246.0,87.75,8.0
Ugonna Okyekwe,2003,79.25,228.0,87.0,7.75
Marlon Parmer,2003,72.75,184.0,75.5,2.75
Stephane Pelle,2003,79.0,246.0,86.0,7.0
Kirk Penney,2003,77.0,218.0,77.25,0.25
Pavel Podkolzin,2003,87.5,303.0,89.75,2.25
Josh Powell,2003,80.0,227.0,85.0,5.0
Hollis Price,2003,71.5,165.0,76.5,5.0
Luke Ridnour,2003,73.0,167.0,75.0,2.0
Joe Shipp,2003,76.0,224.0,82.0,6.0
Ron Slay,2003,78.0,236.0,82.0,4.0
Theron Smith,2003,78.5,234.0,82.25,3.75
Tommy Smith,2003,81.0,200.0,86.5,5.5
Marvin Stone,2003,81.5,261.0,87.5,6.0
Michael Sweetney,2003,79.25,262.0,85.0,5.75
Sasha Vujacic,2003,77.5,193.0,77.5,0.0
Dwyane Wade,2003,75.75,212.0,82.75,7.0
Wayne Wallace,2003,79.25,187.0,86.0,6.75
Luke Walton,2003,79.75,235.0,80.5,0.75
David West,2003,80.25,226.0,88.25,8.0
Mo Williams,2003,72.75,189.0,77.5,4.75
Wesley Wilson,2003,82.25,257.0,87.0,4.75
Doug Wrenn,2003,77.75,220.0,91.5,13.75
Derrick Zimmerman,2003,73.0,190.0,81.0,8.0
Tony Allen,2004,75.5,214.0,81.0,5.5
Trevor Ariza,2004,79.0,201.0,86.0,7.0
Andre Barrett,2004,68.75,171.0,73.0,4.25
Brandon Bass,2004,78.25,246.0,86.5,8.25
Andris Biedrins,2004,,-,,
Tony Bobbitt,2004,74.75,185.0,79.0,4.25
Brian Boddicker,2004,79.5,230.0,82.0,2.5
Tim Bowers,2004,72.5,181.0,81.0,8.5
Andre Brown,2004,80.0,236.0,83.0,3.0
Antonio Burks,2004,72.0,191.0,78.5,6.5
Jackie Butler,2004,80.0,263.0,85.5,5.5
Aleksandar Capin,2004,72.0,176.0,73.5,1.5
Ales Chan,2004,84.0,255.0,87.0,3.0
Josh Childress,2004,77.75,196.0,83.0,5.25
TJ Cummings,2004,79.5,215.0,81.5,2.0
Erik Daniels,2004,78.25,223.0,83.0,4.75
Luol Deng,2004,79.0,220.0,84.5,5.5
Marcus Douthit,2004,81.5,223.0,88.0,6.5
Chris Duhon,2004,72.0,193.0,78.5,6.5
John Edwards,2004,83.25,264.0,88.5,5.25
Andre Emmett,2004,75.5,216.0,81.0,5.5
Desmon Farmer,2004,76.5,214.0,80.5,4.0
Luis Flores,2004,72.5,202.0,79.5,7.0
