Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,All-Star
Rick Anderson,2003,80.25,216.0,83.0,2.75,ARZ,31,25.4,10.7,4.1,7.6,0.536,0.9,2.4,0.373,1.6,2.3,0.681,2.6,4.1,6.7,1.5,0.8,0.8,1.3,2.7,No
Carmelo Anthony,2003,78.25,233.0,84.0,5.75,SYRA,35,36.4,22.2,7.9,17.5,0.453,1.6,4.7,0.337,4.8,6.8,0.706,2.9,6.9,9.7,2.2,1.5,0.9,2.2,2.2,Yes
Troy Bell,2003,72.25,178.0,77.0,4.75,BOS,31,38.6,25.2,7.2,16.4,0.441,3.4,8.5,0.402,7.3,8.6,0.847,1.5,3.0,4.6,3.7,2.3,0.2,2.5,2.1,No
LaVell Blanchard,2003,78.0,205.0,78.0,0.0,MICH,30,32.0,16.2,5.2,12.4,0.422,2.2,5.3,0.418,3.5,4.3,0.814,2.1,5.0,7.1,1.0,0.6,0.3,2.0,2.6,No
Keith Bogans,2003,76.25,213.0,81.25,5.0,UK,36,29.7,15.7,5.4,11.8,0.456,2.2,5.8,0.383,2.7,3.6,0.738,1.1,2.7,3.8,2.7,1.2,0.1,2.2,1.7,No
Matt Bonner,2003,80.5,242.0,80.75,0.25,FLA,33,31.4,15.2,5.5,10.8,0.51,1.9,4.0,0.474,2.2,3.1,0.733,2.1,4.0,6.1,1.5,1.1,0.6,1.6,2.1,No
Chris Bosh,2003,82.25,225.0,87.5,5.25,GT,31,31.0,15.7,5.5,9.7,0.56,0.7,1.5,0.468,4.1,5.6,0.73,3.1,5.9,9.0,1.2,1.0,2.1,2.3,2.4,Yes
Jermaine Boyette,2003,73.0,187.0,76.0,3.0,WEBER,32,32.0,20.5,6.2,11.4,0.544,1.0,2.8,0.348,7.1,8.5,0.835,1.1,1.4,2.5,3.3,1.8,0.0,2.4,2.6,No
Matt Carroll,2003,77.0,207.0,78.5,1.5,ND,34,33.9,19.5,6.3,14.3,0.441,2.9,7.1,0.407,4.0,4.7,0.844,0.9,4.1,5.0,1.6,1.1,0.1,1.6,2.2,No
Nick Collison,2003,80.75,255.0,85.5,4.75,KU,38,32.4,18.5,7.4,13.3,0.554,0.3,1.0,0.342,3.3,5.3,0.635,3.3,6.7,10.0,2.2,1.2,1.9,2.4,2.5,No
Brian Cook,2003,81.5,234.0,86.0,4.5,ILL,30,31.3,20.0,6.7,14.1,0.479,0.9,3.0,0.303,5.6,6.8,0.82,1.5,6.1,7.6,2.0,0.7,0.4,2.8,2.9,No
Joel Cornette,2003,80.25,239.0,81.25,1.0,BTLR,33,32.1,11.6,4.9,9.0,0.544,0.0,0.0,0.0,1.9,3.9,0.481,2.2,4.3,6.5,2.9,1.1,0.9,3.0,3.1,No
Marquis Daniels,2003,77.25,198.0,82.0,4.75,AUB,34,33.8,18.4,7.2,14.0,0.513,0.9,2.9,0.306,3.1,4.7,0.673,1.9,4.3,6.2,3.3,2.3,0.2,3.0,2.0,No
Ruben Douglas,2003,75.5,193.0,79.25,3.75,UNM,28,35.1,28.0,7.8,19.6,0.397,3.4,8.5,0.395,9.0,10.8,0.841,1.9,4.8,6.6,2.1,1.3,0.3,3.9,2.7,No
Ronald Dupree,2003,78.0,209.0,80.25,2.25,LSU,32,33.2,15.8,6.2,11.8,0.529,0.4,1.2,0.351,2.9,4.3,0.679,2.4,5.4,7.8,2.4,0.7,0.3,2.0,2.5,No
Carl English,2003,76.0,201.0,77.25,1.25,HAW,31,35.9,19.6,6.4,14.9,0.428,2.9,7.3,0.392,3.9,5.4,0.731,1.0,4.3,5.4,2.4,0.7,0.1,2.6,2.5,No
Ebi Ere,2003,75.5,210.0,82.5,7.0,OKLA,34,27.5,12.9,4.4,11.7,0.378,1.4,4.5,0.307,2.6,3.6,0.715,1.9,2.9,4.8,1.9,0.9,0.3,2.2,1.5,No
Marquis Estill,2003,80.5,257.0,88.0,7.5,UK,36,24.0,11.6,4.7,8.0,0.587,0.0,0.2,0.167,2.2,3.9,0.56,2.8,3.3,6.0,1.1,0.6,1.8,1.7,2.9,No
T.J. Ford,2003,71.0,162.0,71.5,0.5,TEXAS,33,33.6,15.0,4.8,12.0,0.401,0.5,2.1,0.265,4.8,5.8,0.824,0.6,3.2,3.9,7.7,2.0,0.2,3.2,2.5,No
Jason Gardner,2003,69.75,194.0,73.0,3.25,ARZ,32,34.9,14.8,4.6,11.6,0.392,2.1,6.3,0.328,3.6,4.6,0.776,0.5,3.5,4.0,4.9,1.8,0.0,2.8,1.5,No
Willie Green,2003,74.5,201.0,79.25,4.75,UDM,30,34.0,22.6,8.1,16.6,0.49,1.2,3.3,0.378,5.1,6.3,0.805,1.1,3.9,4.9,2.5,1.3,0.4,2.3,2.4,No
Travis Hansen,2003,76.5,200.0,78.5,2.0,BYU,32,32.1,16.8,5.3,11.9,0.442,1.1,3.3,0.34,5.1,6.4,0.799,1.7,3.1,4.7,2.4,0.9,0.7,2.6,3.0,No
Marcus Hatten,2003,72.75,163.0,78.25,5.5,STJ,34,35.4,22.2,8.1,19.2,0.424,1.6,5.4,0.303,4.3,5.9,0.73,1.9,3.6,5.6,4.1,2.9,0.5,3.8,2.5,No
Kirk Hinrich,2003,74.75,186.0,78.0,3.25,KU,37,33.5,17.3,6.3,13.2,0.475,2.4,5.9,0.406,2.4,3.4,0.704,1.0,2.7,3.8,3.5,1.9,0.4,2.2,2.1,No
Jerry Holman,2003,80.75,232.0,87.25,6.5,MINN,33,24.6,9.9,4.2,7.1,0.592,0.0,0.0,0.0,1.5,2.2,0.676,2.4,2.9,5.3,0.8,0.5,1.6,1.8,3.4,No
Sam Hoskin,2003,79.25,261.0,82.75,3.5,DEP,29,32.4,15.6,5.2,9.6,0.541,0.4,1.3,0.316,4.8,5.8,0.822,2.4,5.1,7.6,1.1,0.8,0.4,1.9,2.1,No
Josh Howard,2003,77.25,202.0,86.0,8.75,WF,31,32.3,19.5,6.6,13.8,0.477,1.7,4.6,0.373,4.7,5.6,0.833,3.3,5.0,8.3,1.9,2.1,1.5,2.6,2.9,Yes
Brandon Hunter,2003,78.5,266.0,86.75,8.25,OHIO,30,38.3,21.5,7.2,13.8,0.523,0.4,1.2,0.297,6.6,11.2,0.594,3.2,9.4,12.6,2.6,0.8,1.2,3.6,2.8,No
Robert Jackson,2003,79.75,254.0,84.0,4.25,MARQ,33,28.7,15.4,5.8,10.4,0.557,0.0,0.0,0.0,3.8,4.9,0.779,3.3,4.2,7.5,0.8,0.4,0.2,2.4,3.0,No
Britton Johnsen,2003,82.0,212.0,82.75,0.75,U of U,27,29.2,11.6,4.6,9.6,0.477,0.6,2.4,0.258,1.9,3.6,0.531,1.9,4.8,6.7,2.0,1.1,0.5,2.3,2.9,No
James Jones,2003,79.25,218.0,86.5,7.25,UMFL,28,34.2,16.8,5.6,12.5,0.447,1.4,3.6,0.4,4.2,5.0,0.836,1.9,4.2,6.0,1.8,1.6,1.8,2.5,2.7,No
Dahntay Jones,2003,76.75,214.0,81.0,4.25,DUKE,33,30.7,17.7,6.0,12.8,0.47,1.4,3.6,0.398,4.2,5.7,0.749,1.4,4.1,5.5,0.9,1.2,0.5,1.9,3.1,No
Chris Kaman,2003,83.5,252.0,83.75,0.25,CMU,31,34.0,22.4,7.9,12.6,0.622,0.0,0.0,0.0,6.7,8.9,0.75,3.6,8.4,12.0,1.3,0.6,3.2,4.4,3.2,Yes
Jason Kapono,2003,78.5,215.0,78.5,0.0,UCLA,29,33.4,16.8,5.9,12.9,0.457,2.2,5.6,0.398,2.8,3.2,0.88,1.8,3.4,5.2,2.0,0.6,0.0,2.1,2.2,No
Jason Keep,2003,81.75,270.0,84.5,2.75,SAND,30,26.4,18.0,6.5,10.8,0.604,0.0,0.1,0.5,4.9,8.8,0.558,3.0,6.2,9.1,1.1,0.6,1.2,3.5,3.7,No
Bernard King,2003,75.75,200.0,77.5,1.75,TAMU,27,31.2,17.0,5.2,11.8,0.442,1.4,4.0,0.349,5.1,6.7,0.764,0.9,3.0,4.0,5.6,1.2,0.1,3.4,3.1,Yes
Brandin Knight,2003,71.75,190.0,78.0,6.25,PITT,33,32.9,11.2,3.7,10.1,0.367,1.7,5.6,0.308,2.1,3.6,0.575,0.6,2.9,3.5,6.3,2.1,0.4,3.1,2.3,No
Kyle Korver,2003,78.25,211.0,81.5,3.25,CREI,34,31.8,17.8,5.4,11.5,0.468,3.8,7.9,0.481,3.2,3.5,0.908,1.4,5.0,6.4,3.1,1.5,0.7,2.0,2.6,Yes
Chris Massie,2003,78.5,259.0,85.0,6.5,MEMP,23,29.9,16.7,6.6,10.9,0.602,0.0,0.0,0.0,3.6,5.5,0.651,4.2,6.7,10.8,1.5,0.6,0.7,2.8,2.6,No
Will McDonald,2003,81.5,258.0,87.5,6.0,USOFL,28,29.4,15.9,6.0,12.0,0.501,0.0,0.1,0.25,3.8,5.9,0.648,2.4,5.7,8.1,1.1,1.1,0.9,3.4,3.2,No
Jeff Newton,2003,80.0,199.0,85.0,5.0,IU,34,33.4,14.9,5.0,11.6,0.432,0.3,1.1,0.297,4.5,6.1,0.748,2.2,6.1,8.2,2.0,0.7,1.5,2.3,2.9,No
