Player,Probability,Actual
Ja Morant,0.79,1
Jameer Nelson,0.74,1
Blake Griffin,0.74,1
Darius Garland,0.73,1
David West,0.73,1
Kemba Walker,0.72,1
David Lee,0.72,1
Brook Lopez,0.71,1
Pascal Siakam,0.7,1
Al Horford,0.69,1
Paul George,0.69,1
Anthony Davis,0.68,1
Kevin Durant,0.68,1
Russell Westbrook,0.67,1
Jeff Teague,0.66,1
Shai Gilgeous-Alexander,0.65,1
John Wall,0.65,1
Derrick Rose,0.64,1
Paul Millsap,0.64,1
Kevin Love,0.64,1
Zion Williamson,0.63,1
Jimmy Butler,0.63,1
Klay Thompson,0.63,1
Chris Paul,0.62,1
Damian Lillard,0.62,1
Jarrett Allen,0.61,1
Brandon Roy,0.61,1
Kawhi Leonard,0.6,1
Joakim Noah,0.6,1
David Lee,0.59,1
Mo Williams,0.59,1
Chris Kaman,0.59,1
Deron Williams,0.58,1
Jalen Brunson,0.57,1
Devin Harris,0.57,1
Kyle Korver,0.56,1
Jaylen Brown,0.55,1
Trae Young,0.53,1
DeMar DeRozan,0.53,1
Mike Conley,0.52,1
Markelle Fultz,0.51,0
Isaiah Thomas,0.5,1
Bradley Beal,0.5,1
Andre Drummond,0.48,1
RJ Barrett,0.44,0
Michael Sweetney,0.4,0
Kris Dunn,0.39,0
Andrew Bogut,0.39,0
Mustafa Al-Sayyad,0.38,0
Michael Carter-Williams,0.37,0
Michael Beasley,0.37,0
Kay Felder,0.37,0
Artsiom Parakhouski,0.36,0
Brandon Hunter,0.35,0
Julius Hodge,0.34,0
Brice Johnson,0.33,0
Sean May,0.33,0
Eric Maynor,0.32,0
Pierre Jackson,0.32,0
Erick Green,0.31,0
Ellis Myles,0.31,0
Mike Muscala,0.31,0
Luke Ridnour,0.31,0
Kyle Hines,0.31,0
Jawun Evans,0.31,0
Dwight Powell,0.29,0
Dylan Windler,0.29,0
Aaron Miles,0.29,0
Nolan Smith,0.29,0
Deron Washington,0.28,0
Kenneth Faried,0.27,0
Jevon Carter,0.27,0
Wayne Simien,0.27,0
DaShaun Wood,0.27,0
Trey Burke,0.27,0
Wade Baldwin IV,0.27,0
Francisco Garcia,0.26,0
Mohamed Bamba,0.26,0
Alan Williams,0.25,0
Lorenzo Brown,0.25,0
Evan Turner,0.25,0
Shamorie Ponds,0.25,0
George Hill,0.25,0
Ricky Minard,0.25,0
Aaron Brooks,0.24,0
James Fredette,0.24,0
Romeo Langford,0.24,0
Yemi Nicholson,0.24,0
Simisola Shittu,0.24,0
Andrew Goudelock,0.24,0
Deonte Burton,0.24,0
Cody Zeller,0.23,0
Alize Johnson,0.23,0
Tu Holloway,0.23,0
Larry Sanders,0.23,0
De'Andre Hunter,0.23,0
Lester Hudson,0.23,0
Chris Quinn,0.23,0
Scott Machado,0.23,0
Sean Singletary,0.23,0
Tacko Fall,0.23,0
Reggie Williams,0.22,0
Maarty Leunen,0.22,0
Aaron Holiday,0.22,0
Emeka Okafor,0.22,0
Dexter Pittman,0.22,0
Jakob Poeltl,0.22,0
Mark Tyndale,0.21,0
Zabian Dowdell,0.21,0
Al-Farouq Aminu,0.21,0
Nigel Williams-Goss,0.21,0
Demetri McCamey,0.21,0
Doug Wrenn,0.21,0
Devin Ebanks,0.21,0
Omar Thomas,0.21,0
Elgin Cook,0.21,0
James Anderson,0.21,0
William Buford,0.21,0
Peyton Siva,0.2,0
